common_name,scientific_name,latitude,longitude,observed_on,grid_id
Lechuza bataraz,Strix rufipes,-54.8125392,-68.3505673,2023-09-12,233
Remolinera araucana,Cinclodes patagonicus,-54.1713526793,-67.2773640597,2023-09-12,891
Cachudito pico negro,Anairetes parulus,-54.8078588,-68.3075798,2023-09-13,233
Caburé grande,Glaucidium nana,-54.8323602475,-68.5625547543,2023-09-14,230
Cormorán imperial,Leucocarbo atriceps,-54.8079119,-68.3075784,2023-09-16,233
Carancho,Caracara plancus,-54.8323602475,-68.5625547543,2023-09-14,230
Dormilona cara negra,Muscisaxicola maclovianus,-54.787475,-68.23877,2023-09-16,280
Comesebo patagónico,Phrygilus patagonicus,-54.8314180566,-68.5617584735,2023-09-19,230
Halconcito colorado,Falco sparverius,-54.787291349,-68.2206228292,2023-09-17,281
Lechuza de campanario,Tyto furcata,-53.7923538589,-67.6723557338,2023-09-23,1300
Gaviota cocinera,Larus dominicanus,-54.8088207111,-68.3034221828,2023-09-20,234
Dormilona cara negra,Muscisaxicola maclovianus,-54.285015073,-66.6979076641,2023-09-23,807
Becasina Patagónica,Gallinago magellanica,-54.1713526793,-67.2773640597,2023-09-24,891
Cachudito pico negro,Anairetes parulus,-54.1713526793,-67.2773640597,2023-09-24,891
Macá Cara Blanca,Rollandia rolland,-54.8086663437,-68.2858715948,2023-09-07,234
Carancho,Caracara plancus,-54.8372186949,-68.3534266029,2023-09-30,233
Playerito rabadilla blanca,Calidris fuscicollis,-54.0165943394,-67.3422371596,2022-01-05,1074
Cormorán imperial,Leucocarbo atriceps,-54.8083764917,-68.2999906316,2023-10-03,234
Cormorán imperial,Leucocarbo atriceps,-54.8361135371,-68.2556289062,2023-10-03,234
Gaviota cocinera,Larus dominicanus,-54.8345021583,-68.2525758818,2023-10-03,234
Chimango,Daptrius chimango,-54.7023362444,-68.1183759123,2023-10-04,374
Chingolo,Zonotrichia capensis,-54.7001681461,-68.122564517,2023-10-04,374
Ratona,Troglodytes musculus,-54.7011556323,-68.1173777953,2023-10-04,374
Chingolo,Zonotrichia capensis,-54.7064832257,-68.1138423085,2023-10-04,328
Zorzal patagónico,Turdus falcklandii,-54.8449528668,-68.5648168623,2023-10-05,184
Zorzal patagónico,Turdus falcklandii,-54.8437947493,-68.5692297667,2023-10-05,184
Pato Crestón,Lophonetta specularioides,-54.843850542,-68.5712471232,2023-10-05,184
Gaviota cocinera,Larus dominicanus,-54.8543499761,-68.5744490102,2023-10-05,184
Cormorán cuello negro,Leucocarbo magellanicus,-54.8552285209,-68.5730592906,2023-10-05,184
Chimango,Daptrius chimango,-54.7992906604,-68.2836851478,2023-10-06,234
Diucón,Pyrope pyrope,-54.8178769686,-68.1881874427,2023-10-06,235
Chimango,Daptrius chimango,-54.8174724507,-68.1848387048,2023-10-06,235
Rayadito,Aphrastura spinicauda,-54.8175980178,-68.1849282235,2023-10-06,235
Gaviota cocinera,Larus dominicanus,-54.8190968724,-68.1809870526,2023-10-06,235
Diucón,Pyrope pyrope,-54.8185173502,-68.1788251922,2023-10-06,235
Chingolo,Zonotrichia capensis,-54.8186145173,-68.1775568426,2023-10-06,235
Chimango,Daptrius chimango,-54.820330261,-68.1551909074,2023-10-06,235
Dormilona cara negra,Muscisaxicola maclovianus,-54.8201125615,-68.1533519179,2023-10-06,235
Comesebo patagónico,Phrygilus patagonicus,-54.8196014362,-68.1541867554,2023-10-06,235
Chingolo,Zonotrichia capensis,-54.7994037217,-68.3679390326,2023-10-06,233
Bandurria austral,Theristicus melanopis,-54.776037387,-67.7012209967,2023-10-07,287
Bandurria austral,Theristicus melanopis,-54.7762122008,-67.7011348307,2023-10-07,287
Comesebo patagónico,Phrygilus patagonicus,-54.8190101378,-68.1695983931,2023-10-07,235
Zorzal patagónico,Turdus falcklandii,-54.8716826443,-67.5683188811,2023-10-07,197
Tero,Vanellus chilensis,-54.8728737214,-67.5676020607,2023-10-07,197
Sobrepuesto austral,Lessonia rufa,-54.8061162881,-68.2995665073,2023-10-07,234
Bandurria austral,Theristicus melanopis,-54.8047510616,-68.290986456,2023-10-07,234
Cormorán imperial,Leucocarbo atriceps,-54.8058206379,-68.2957386598,2023-10-07,234
Dormilona cara negra,Muscisaxicola maclovianus,-54.7877555027,-68.2389686553,2023-10-09,280
Dormilona cara negra,Muscisaxicola maclovianus,-54.7877320757,-68.2389579267,2023-10-09,280
Dormilona cara negra,Muscisaxicola maclovianus,-54.7877537278,-68.2389686555,2023-10-09,280
Cachudito pico negro,Anairetes parulus,-54.8323611,-68.5625548,2022-12-08,230
Diucón,Pyrope pyrope,-54.8323611,-68.5625548,2022-12-08,230
Zorzal patagónico,Turdus falcklandii,-54.8323611,-68.5625548,2022-12-08,230
Chimango,Daptrius chimango,-54.8323611,-68.5625548,2022-12-08,230
Comesebo patagónico,Phrygilus patagonicus,-54.8323611,-68.5625548,2022-12-08,230
Quetro volador,Tachyeres patachonicus,-54.8129132208,-68.3186442365,2023-10-12,233
Pato Crestón,Lophonetta specularioides,-54.812219248,-68.3190178427,2023-10-12,233
Pato Crestón,Lophonetta specularioides,-54.8122555244,-68.317483448,2023-10-12,233
Pato Crestón,Lophonetta specularioides,-54.8323611,-68.5625548,2022-12-08,230
Cabecitanegra austral,Spinus barbatus,-54.8567778,-68.5760266,2022-12-08,184
Pingüino rey,Aptenodytes patagonicus,-53.6987381243,-67.8346859763,2023-07-15,1390
Coscoroba,Coscoroba coscoroba,-54.1713526793,-67.2773640597,2023-10-10,891
Macá plateado,Podiceps occipitalis,-53.7515248685,-67.7025711555,2023-10-07,1345
Pitotoy chico,Tringa flavipes,-54.1713526793,-67.2773640597,2023-10-10,891
Gorrión Doméstico,Passer domesticus,-54.804954487,-68.3021508158,2023-10-15,234
Carancho,Caracara plancus,-54.8408493731,-68.4696688851,2023-10-15,185
Cormorán imperial,Leucocarbo atriceps,-54.8479839641,-68.5738813416,2023-10-15,184
Chimango,Daptrius chimango,-54.843079587,-68.4978995715,2023-10-15,185
Águila mora,Geranoaetus melanoleucus,-54.825416858,-68.3553160324,2023-10-15,233
Pato Barcino,Anas flavirostris,-54.8191104688,-68.3532704243,2023-10-15,233
Loica,Leistes loyca,-54.36083081,-67.66531376,2023-10-14,702
Bandurria austral,Theristicus melanopis,-54.35717783,-67.76401388,2023-10-14,701
Pato Barcino,Anas flavirostris,-54.36174242,-67.77748041,2023-10-14,700
Remolinera araucana,Cinclodes patagonicus,-54.36221639,-67.78661214,2023-10-14,700
Chorlito pecho canela,Zonibyx modestus,-54.3661502,-67.7938429,2023-10-14,700
Remolinera parda,Cinclodes fuscus,-54.36334057,-67.7893954,2023-10-14,700
Tordo patagónico,Curaeus curaeus,-54.35642543,-67.26830989,2023-10-15,707
Cormorán imperial,Leucocarbo atriceps,-54.927752403,-67.1031784946,2023-10-05,157
Playerito blanco,Calidris alba,-53.774927004,-67.697663717,2023-10-14,1299
Cormorán imperial,Leucocarbo atriceps,-54.8074909733,-68.3020788001,2023-09-13,234
Pato Crestón,Lophonetta specularioides,-54.81795545,-68.32013006,2023-10-19,233
Gaviota cocinera,Larus dominicanus,-54.81711161,-68.31873399,2023-10-19,233
Pato Barcino,Anas flavirostris,-54.81713528,-68.31874037,2023-10-19,233
Quetro volador,Tachyeres patachonicus,-54.81720856,-68.31855607,2023-10-19,233
Pato cuchara,Spatula platalea,-54.81745951,-68.31793413,2023-10-19,233
Pato Crestón,Lophonetta specularioides,-54.8109706053,-68.3151316141,2023-10-14,233
Chimango,Daptrius chimango,-54.8380576889,-68.5620105833,2023-09-15,230
Bandurria austral,Theristicus melanopis,-54.5978735247,-67.6353336381,2023-09-14,472
Pato maicero,Anas georgica,-54.550905986,-67.2229817199,2023-09-14,524
Comesebo patagónico,Phrygilus patagonicus,-54.839286654,-68.561911467,2023-09-15,184
Zorzal patagónico,Turdus falcklandii,-54.8183503137,-68.5750444174,2023-09-15,230
Rayadito,Aphrastura spinicauda,-54.8271056411,-68.5617053588,2023-09-15,230
Carancho,Caracara plancus,-54.8305535636,-68.5633396136,2023-09-15,230
Bandurria austral,Theristicus melanopis,-54.8545976497,-68.578986671,2023-09-15,184
Pato Crestón,Lophonetta specularioides,-54.8695478853,-67.5598975332,2023-09-16,197
Martín pescador grande,Megaceryle torquata,-54.8710896943,-67.3970139461,2023-09-16,199
Gaviota cocinera,Larus dominicanus,-54.8100549961,-68.3129849231,2023-10-14,233
Gaviota cocinera,Larus dominicanus,-54.8100549961,-68.3129849231,2023-10-14,233
Garza bruja,Nycticorax nycticorax,-54.8100549961,-68.3129849231,2023-10-14,233
Gaviota cocinera,Larus dominicanus,-54.8107669618,-68.314452898,2023-10-21,233
Quetro volador,Tachyeres patachonicus,-54.8127817493,-68.318973785,2023-10-21,233
Pato Crestón,Lophonetta specularioides,-54.8135688041,-68.3186305871,2023-10-21,233
Chimango,Daptrius chimango,-54.8147494454,-68.3184707734,2023-10-21,233
Pato cuchara,Spatula platalea,-54.816746948,-68.3189884398,2023-10-21,233
Tero,Vanellus chilensis,-54.8170304612,-68.3189964864,2023-10-21,233
Pato maicero,Anas georgica,-54.8168605415,-68.3188418529,2023-10-21,233
Tero,Vanellus chilensis,-54.8113587143,-68.3169673164,2023-10-21,233
Biguá,Nannopterum brasilianum,-54.8111006345,-68.3140183065,2023-10-21,233
Gaviota cocinera,Larus dominicanus,-54.811034276,-68.3140739297,2023-10-21,233
Cormorán real,Leucocarbo atriceps,-54.8124730772,-68.3161772925,2023-10-22,233
Garza Bruja (obscurus),Nycticorax nycticorax,-54.8113236891,-68.3169068533,2023-10-22,233
Garza Bruja (obscurus),Nycticorax nycticorax,-54.811336059,-68.3171536097,2023-10-22,233
Quetro volador,Tachyeres patachonicus,-54.8116946548,-68.3181192049,2023-10-22,233
Chingolo,Zonotrichia capensis,-54.8176790247,-68.3195984562,2023-10-22,233
Pato Crestón,Lophonetta specularioides,-54.817804263,-68.3197276189,2023-10-22,233
Becasina Patagónica,Gallinago magellanica,-54.8172462452,-68.3191110977,2023-10-22,233
Chimango,Daptrius chimango,-54.8177319956,-68.3180710324,2023-10-22,233
Pato maicero,Anas georgica,-54.816873903,-68.3185242105,2023-10-22,233
Pato Barcino,Anas flavirostris,-54.8168831758,-68.3185671258,2023-10-22,233
Remolinera parda,Cinclodes fuscus,-54.8139806863,-68.3182881761,2023-10-22,233
Jote cabeza colorada,Cathartes aura,-54.810881154,-68.3185456682,2023-10-22,233
Fiofío silbón,Elaenia albiceps,-54.85281855,-68.41077723,2023-10-24,186
Gaviota cocinera,Larus dominicanus,-54.797835,-68.270042,2023-10-25,234
Gorrión Doméstico,Passer domesticus,-54.7970183334,-68.2697038819,2023-10-25,234
Zorzal patagónico,Turdus falcklandii,-54.8555067914,-68.578418334,2023-10-25,184
Pato Barcino,Anas flavirostris,-54.8355853977,-68.4711461608,2023-10-25,231
Chimango,Daptrius chimango,-54.8304062688,-68.5633232479,2023-10-23,230
Pato maicero,Anas georgica,-54.8316106768,-68.5648468227,2023-10-23,230
Macá grande,Podiceps major,-54.8308322135,-68.5660208377,2023-10-23,230
Picolezna patagónico,Pygarrhichas albogularis,-54.8319666688,-68.5644466846,2023-10-23,230
Rayadito,Aphrastura spinicauda,-54.8320310632,-68.5643930405,2023-10-23,230
Macá grande,Podiceps major,-54.835579856,-68.5638673275,2023-10-23,230
Rayadito,Aphrastura spinicauda,-54.8285080811,-68.5620219677,2023-10-23,230
Zorzal patagónico,Turdus falcklandii,-54.827287762,-68.5620706591,2023-10-23,230
Martín pescador grande,Megaceryle torquata,-54.8448434933,-68.563480914,2023-10-23,184
Comesebo patagónico,Phrygilus patagonicus,-54.8560673945,-68.5747963593,2023-10-23,184
Cachudito pico negro,Anairetes parulus,-54.8564498387,-68.5747046027,2023-10-23,184
Diucón,Pyrope pyrope,-54.8580863332,-68.5751965518,2023-10-23,184
Pato Overo,Mareca sibilatrix,-54.8381028975,-68.3527826629,2023-10-23,233
Ostrero austral,Haematopus leucopodus,-54.8380376226,-68.3531737411,2023-10-23,233
Bandurria austral,Theristicus melanopis,-54.838761976,-68.3557583583,2023-10-23,233
Cormorán imperial,Leucocarbo atriceps,-54.8389607044,-68.3558141305,2023-10-23,187
Golondrina patagónica,Tachycineta leucopyga,-54.8391484046,-68.3871847458,2023-10-23,186
Comesebo patagónico,Phrygilus patagonicus,-54.8384834798,-68.3851280353,2023-10-23,232
Matamico blanco,Daptrius albogularis,-54.7896050974,-68.220697456,2023-10-23,281
Carancho,Caracara plancus,-54.7897140309,-68.2206187667,2023-10-23,281
Águila mora,Geranoaetus melanoleucus,-54.7902829739,-68.2203200845,2023-10-23,281
Matamico blanco,Daptrius albogularis,-54.790383979,-68.2207235366,2023-10-23,281
Chimango,Daptrius chimango,-54.7898870194,-68.2206797425,2023-10-23,281
Sobrepuesto austral,Lessonia rufa,-53.8092765261,-67.7830351797,2023-10-24,1252
Chorlito doble collar,Anarhynchus falklandicus,-53.8090992921,-67.7834589687,2023-10-24,1252
Playerito rabadilla blanca,Calidris fuscicollis,-53.8090643755,-67.7840237999,2023-10-24,1252
Loica,Leistes loyca,-53.8089907412,-67.7819110263,2023-10-24,1252
Ostrero austral,Haematopus leucopodus,-53.6766493297,-68.1167718955,2023-10-24,1386
Chorlito doble collar,Anarhynchus falklandicus,-53.6765462455,-68.1167139838,2023-10-24,1386
Playerito unicolor,Calidris bairdii,-53.6759712852,-68.1162906342,2023-10-24,1386
Sobrepuesto austral,Lessonia rufa,-53.6643367979,-68.1181754512,2023-10-24,1432
Playerito rabadilla blanca,Calidris fuscicollis,-53.6644311832,-68.1181232577,2023-10-24,1432
