id,observed_on,user_id,place_guess,latitude,longitude,positional_accuracy,scientific_name_sub,common_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_subspecies_name,scientific_name
258861309,2025-01-15,1490215,"Ushuaia, Tierra del Fuego, Argentina",-54.8302212733,-68.5628154156,15.0,Zonotrichia capensis,Chingolo,9183,Passeriformes,Passerellidae,Zonotrichia,,Zonotrichia capensis
258861310,2025-01-15,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8382988517,-68.3575896847,8.0,Caracara plancus,Carancho,4715,Falconiformes,Falconidae,Caracara,,Caracara plancus
258861311,2025-01-15,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8382853506,-68.3575601352,8.0,Lessonia rufa,Sobrepuesto austral,17310,Passeriformes,Tyrannidae,Lessonia,,Lessonia rufa
259013523,2025-01-17,383013,"Aeropuerto Internacional Malvinas Argentinas, Ushuaia, Tierra del Fuego, AR",-54.8394265682,-68.3122924027,26.0,Zonotrichia capensis,Chingolo,9183,Passeriformes,Passerellidae,Zonotrichia,,Zonotrichia capensis
259041094,2024-02-28,2051728,"V9410 Ushuaia, Tierra del Fuego Province, Argentina",-54.8128489646,-68.3188522115,122.0,Daptrius chimango,Chimango,1432781,Falconiformes,Falconidae,Daptrius,,Daptrius chimango
259041115,2024-12-29,6432947,"Ushuaia, AR-TF",-54.8611322947,-68.1246381149,1213.0,Macronectes giganteus,Petrel gigante antártico,4198,Procellariiformes,Procellariidae,Macronectes,,Macronectes giganteus
259041116,2024-12-29,6432947,"Ushuaia, AR-TF, AR",-54.8627246929,-68.0989714372,1277.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
259066384,2024-12-30,6432947,"V9410 Ushuaia, Terra do Fogo, Argentina",-54.8115423305,-68.3154101213,7.0,Daptrius chimango temucoensis,,1432783,Falconiformes,Falconidae,Daptrius,Daptrius chimango temucoensis,Daptrius chimango
259066385,2024-12-30,6432947,"V9410 Ushuaia, Terra do Fogo, Argentina",-54.8117333916,-68.3152375949,10.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
259067037,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.8552411671,-68.5760491537,6.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
259067038,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.8553903307,-68.5738230692,14.0,Spinus barbatus,Cabecitanegra austral,145321,Passeriformes,Fringillidae,Spinus,,Spinus barbatus
259067040,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.8551432973,-68.577732791,84.0,Zonotrichia capensis australis,,732449,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis australis,Zonotrichia capensis
259067710,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.830286301,-68.5634499289,39.0,Pyrope pyrope,Diucón,1289529,Passeriformes,Tyrannidae,Pyrope,,Pyrope pyrope
259067713,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.83015217,-68.5626546116,26.0,Aphrastura spinicauda,Rayadito,11766,Passeriformes,Furnariidae,Aphrastura,,Aphrastura spinicauda
259067719,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.8301474555,-68.5626702019,14.0,Troglodytes musculus,Ratona,1578442,Passeriformes,Troglodytidae,Troglodytes,,Troglodytes musculus
259067723,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.8301324649,-68.5626651455,22.0,Troglodytes musculus,Ratona,1578442,Passeriformes,Troglodytidae,Troglodytes,,Troglodytes musculus
259067724,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.8301324649,-68.5626651455,22.0,Troglodytes musculus,Ratona,1578442,Passeriformes,Troglodytidae,Troglodytes,,Troglodytes musculus
259072175,2024-12-31,6432947,"Ushuaia, Terra do Fogo, Argentina",-54.838462801,-68.5620203568,55.0,Zonotrichia capensis australis,,732449,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis australis,Zonotrichia capensis
259073771,2025-01-01,6432947,"Tolhuin, Tierra del Fuego, Argentina",-54.5981335803,-67.8901313826,16.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
259073774,2025-01-01,6432947,"Tolhuin, Tierra del Fuego, Argentina",-54.5981335803,-67.8901313826,16.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
259074057,2025-01-01,6432947,"Tolhuin, Tierra del Fuego, Argentina",-54.5986579237,-67.9944401984,198.0,Zonotrichia capensis australis,,732449,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis australis,Zonotrichia capensis
259074707,2025-01-01,6432947,"Tolhuin, Tierra del Fuego, Argentina",-54.5996927831,-67.9974804441,9.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
259074714,2025-01-01,6432947,"Tolhuin, Tierra del Fuego, Argentina",-54.5996927831,-67.9974804441,9.0,Daptrius chimango temucoensis,,1432783,Falconiformes,Falconidae,Daptrius,Daptrius chimango temucoensis,Daptrius chimango
259182142,2024-12-16,7219734,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8348644103,-68.346968852,654.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
259244403,2025-01-22,940128,"Tierra del Fuego, Tierra del Fuego, AR",-54.8092136858,-68.3084379445,184.0,Cinclodes patagonicus,Remolinera araucana,11379,Passeriformes,Furnariidae,Cinclodes,,Cinclodes patagonicus
259269022,2024-12-18,7366437,"Ushuaia Department, Tierra del Fuego Province, Argentina",-54.8027874326,-68.2221005024,1435.0,Leistes loyca,Loica,793313,Passeriformes,Icteridae,Leistes,,Leistes loyca
259287107,2025-01-15,8303344,"Ushuaia, AR-TF, AR",-54.8206216667,-68.1645666667,6.0,Cinclodes oustaleti,Remolinera chica,11392,Passeriformes,Furnariidae,Cinclodes,,Cinclodes oustaleti
259287231,2025-01-15,8303344,"Tierra del Fuego, Tierra del Fuego, AR",-54.8206216667,-68.164575,5.0,Zonotrichia capensis,Chingolo,9183,Passeriformes,Passerellidae,Zonotrichia,,Zonotrichia capensis
259376732,2025-01-20,4444997,"Puerto Almanza, Tierra del Fuego, Argentina",-54.8707481,-67.5657378,173.0,Calidris bairdii,Playerito unicolor,3851,Charadriiformes,Scolopacidae,Calidris,,Calidris bairdii
259376734,2025-01-20,4444997,"Puerto Almanza, Tierra del Fuego, Argentina",-54.8707481,-67.5657378,173.0,Calidris bairdii,Playerito unicolor,3851,Charadriiformes,Scolopacidae,Calidris,,Calidris bairdii
259376738,2025-01-20,4444997,"Puerto Almanza, Tierra del Fuego, Argentina",-54.8707481,-67.5657378,173.0,Caracara plancus plancus,Carancho,1290156,Falconiformes,Falconidae,Caracara,Caracara plancus plancus,Caracara plancus
259376739,2025-01-20,4444997,"Puerto Almanza, Tierra del Fuego, Argentina",-54.8707481,-67.5657378,173.0,Tachyeres patachonicus,Quetro volador,7133,Anseriformes,Anatidae,Tachyeres,,Tachyeres patachonicus
259376741,2025-01-20,4444997,"Puerto Almanza, Tierra del Fuego, Argentina",-54.8707481,-67.5657378,173.0,Tachyeres patachonicus,Quetro volador,7133,Anseriformes,Anatidae,Tachyeres,,Tachyeres patachonicus
